,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
DE0 26 - DE0 5,DE0 26,DE0 5,190.5,0.9,0.9,0.002,0.898
DE0 26 - DE0 7,DE0 26,DE0 7,75.25,42.487,18.119,0.005,18.114
DE0 27 - DE0 5,DE0 27,DE0 5,113.0,17.912,0.8140000000000001,0.002,0.812
DE0 3 - PL0 3,DE0 3,PL0 3,154.0,0.0,0.472,0.472,0.0
DE0 4 - DE0 8,DE0 4,DE0 8,138.0,34.292,11.607999999999999,0.002,11.605999999999998
DE0 5 - DE0 7,DE0 5,DE0 7,209.0,10.009,4.76,0.0,4.76
DE0 6 - DE0 9,DE0 6,DE0 9,120.5,28.493,0.014,0.002,0.012
DE0 7 - NL0 1,DE0 7,NL0 1,175.0,0.9,0.903,0.005,0.898
DE0 7 - NL0 2,DE0 7,NL0 2,113.33333333333333,2.85,6.739,3.893,2.846
DE0 8 - DE0 9,DE0 8,DE0 9,469.0,0.0,0.001,0.001,0.0
DK0 0 - DK3 0,DK0 0,DK3 0,293.5,0.9,0.511,0.004,0.507
DK0 0 - GB5 2,DK0 0,GB5 2,929.0,0.0,0.001,0.001,0.0
DK0 0 - NL0 3,DK0 0,NL0 3,446.0,0.0,0.002,0.002,0.0
DK0 0 - NO3 5,DK0 0,NO3 5,375.5,1.8,1.803,0.003,1.8
DK0 0 - SE3 6,DK0 0,SE3 6,345.0,0.0,4.079,4.079,0.0
DK3 0 - SE3 3,DK3 0,SE3 3,203.0,2.028,2.965,0.939,2.026
EE6 0 - FI3 4,EE6 0,FI3 4,234.0,0.0,3.805,3.805,0.0
EE6 0 - LV6 0,EE6 0,LV6 0,294.0,1.455,3.817,2.363,1.454
ES0 0 - ES0 11,ES0 0,ES0 11,242.0,16.4,1.5979999999999999,0.002,1.596
ES0 0 - ES0 6,ES0 0,ES0 6,316.0,0.0,0.004,0.004,0.0
ES0 0 - PT0 2,ES0 0,PT0 2,253.0,0.0,2.832,2.832,0.0
ES0 1 - ES0 10,ES0 1,ES0 10,322.0,0.0,0.002,0.002,0.0
ES0 1 - ES0 11,ES0 1,ES0 11,393.0,2.7,5.702999999999999,3.004,2.699
ES0 1 - ES0 12,ES0 1,ES0 12,344.6666666666667,1.8,1.798,0.001,1.7970000000000002
ES0 1 - ES0 4,ES0 1,ES0 4,403.0,1.8,0.007,0.001,0.006
ES0 1 - ES0 5,ES0 1,ES0 5,425.0,0.9,0.899,0.0,0.899
ES0 1 - ES0 6,ES0 1,ES0 6,287.0,0.0,0.006,0.006,0.0
ES0 1 - ES0 8,ES0 1,ES0 8,339.0,0.9,0.901,0.002,0.899
ES0 1 - ES0 9,ES0 1,ES0 9,472.0,7.3,3.05,0.0,3.05
ES0 10 - ES0 2,ES0 10,ES0 2,241.0,0.0,0.141,0.141,0.0
ES0 10 - ES0 4,ES0 10,ES0 4,219.33333333333334,1.8,0.287,0.009,0.27799999999999997
ES0 10 - ES0 6,ES0 10,ES0 6,301.0,0.9,0.612,0.001,0.611
ES0 10 - PT0 1,ES0 10,PT0 1,210.0,0.0,0.009,0.009,0.0
ES0 11 - ES0 5,ES0 11,ES0 5,325.5,0.9,6.357,5.457,0.9
ES0 11 - ES0 6,ES0 11,ES0 6,362.5,7.3,0.525,0.001,0.524
ES0 12 - ES0 3,ES0 12,ES0 3,194.5,0.9,1.763,0.864,0.899
ES0 12 - ES0 9,ES0 12,ES0 9,209.5,2.7,3.92,1.222,2.698
ES0 12 - FR0 23,ES0 12,FR0 23,228.25,6.096,5.064,0.001,5.063000000000001
ES0 2 - ES0 4,ES0 2,ES0 4,421.0,1.8,3.6950000000000003,1.899,1.796
ES0 2 - PT0 1,ES0 2,PT0 1,306.5,0.924,8.389,7.467,0.922
ES0 3 - ES0 7,ES0 3,ES0 7,281.6666666666667,2.7,8.37,5.675,2.695
ES0 3 - ES0 8,ES0 3,ES0 8,312.0,2.7,17.188,14.49,2.698
ES0 3 - FR0 23,ES0 3,FR0 23,291.0,0.0,6.2,6.2,0.0
ES0 3 - FR0 6,ES0 3,FR0 6,291.0,1.8,1.799,0.0,1.799
ES0 4 - ES0 9,ES0 4,ES0 9,207.5,1.8,2.682,0.883,1.799
ES0 5 - ES0 8,ES0 5,ES0 8,234.66666666666666,1.8,1.256,0.002,1.254
ES0 6 - PT0 0,ES0 6,PT0 0,413.5,3.256,0.468,0.004,0.464
ES0 6 - PT0 2,ES0 6,PT0 2,308.0,0.0,0.019,0.019,0.0
ES0 7 - FR0 26,ES0 7,FR0 26,281.0,0.0,6.597,6.597,0.0
ES0 8 - ES2 0,ES0 8,ES2 0,409.0,0.9,0.226,0.001,0.225
ES0 9 - FR0 12,ES0 9,FR0 12,404.0,0.0,4.559,4.559,0.0
FI3 0 - FI3 1,FI3 0,FI3 1,444.0,0.0,0.621,0.621,0.0
FI3 0 - FI3 2,FI3 0,FI3 2,298.0,0.0,0.003,0.003,0.0
FI3 0 - FI3 4,FI3 0,FI3 4,238.0,1.8,1.436,0.001,1.435
FI3 0 - SE3 0,FI3 0,SE3 0,478.0,0.0,1.539,1.539,0.0
FI3 1 - FI3 2,FI3 1,FI3 2,422.0,0.0,0.027,0.027,0.0
FI3 1 - FI3 3,FI3 1,FI3 3,327.0,0.0,1.555,1.555,0.0
FI3 1 - SE3 7,FI3 1,SE3 7,350.0,0.0,0.027,0.027,0.0
FI3 2 - FI3 4,FI3 2,FI3 4,246.0,1.8,1.0,0.002,0.998
FI3 3 - SE3 7,FI3 3,SE3 7,306.0,0.0,0.674,0.674,0.0
FR0 0 - FR0 13,FR0 0,FR0 13,231.0,0.9,0.899,0.0,0.899
FR0 0 - FR0 14,FR0 0,FR0 14,142.66666666666666,1.8,4.816,3.02,1.796
FR0 0 - FR0 24,FR0 0,FR0 24,157.0,0.0,1.709,1.709,0.0
FR0 0 - FR0 26,FR0 0,FR0 26,146.33333333333334,2.7,4.129,1.431,2.698
FR0 1 - FR0 11,FR0 1,FR0 11,205.0,3.6,12.887999999999998,9.29,3.598
FR0 1 - FR0 15,FR0 1,FR0 15,228.0,2.7,2.642,0.0,2.642
FR0 1 - FR0 17,FR0 1,FR0 17,296.0,4.5,4.498,0.001,4.497
FR0 1 - FR0 19,FR0 1,FR0 19,262.3333333333333,3.6,3.5919999999999996,0.001,3.591
FR0 1 - FR0 22,FR0 1,FR0 22,197.33333333333334,10.0,18.904,8.907,9.997
FR0 1 - FR0 5,FR0 1,FR0 5,410.0,0.0,0.001,0.001,0.0
FR0 1 - FR0 7,FR0 1,FR0 7,215.33333333333334,4.5,5.904,1.406,4.497999999999999
