,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 13,,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,116.03,86.2,126.75,116.69,,,,,59.53,58.44,118.61,,,,,113.18,91.29,,,65.4,58.62,91.29,,,70.66,58.62,114.24,-6.37,27.52,12.29,6.23,39.67,23.14,0.0,1.59,0.18,6.87,23.14,0.86,0.02,5.06,0.23,13.58,0.12,0.0,0.0,7.23,2.24,2.34,6.35,4.62,0.0,0.0,52.59,0.04,13.17,,,,,46.39,0.0,0.0,0.0,0.0,0.0,16.61,100.0,0.0
DE0 14,,0.16,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,115.69,85.86,122.09,113.55,,,,,59.3,58.5,115.89,,,,,110.46,65.57,,,70.15,62.57,65.57,,,70.32,62.57,113.11,1.17,2.77,-0.89,0.1,3.15,5.12,0.0,0.22,0.04,0.9,5.12,0.04,0.01,1.54,0.36,0.93,0.09,0.0,0.0,4.06,0.14,0.6,3.85,1.02,0.0,0.0,11.65,0.02,1.13,,,,,34.14,0.0,0.0,0.0,0.0,0.0,15.57,100.0,0.0
DE0 15,0.0,0.56,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.08,,114.98,85.14,92.02,84.27,,,,,49.76,48.73,86.93,,,,,81.5,39.01,,52.18,,62.04,49.23,60.75,59.65,68.64,62.04,87.27,-2.94,-24.07,-3.08,7.28,-22.82,24.28,20.65,0.0,0.19,5.17,24.28,1.51,0.0,8.79,0.66,5.86,0.12,0.0,4.19,31.9,1.98,4.2,19.24,0.0,0.0,1680.01,55.17,0.0,17.2,,0.0,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,22.88,0.01,0.0
DE0 16,,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,,116.14,86.31,126.9,116.67,,,,,60.21,59.09,118.6,,,,,113.17,,,,65.33,58.01,95.37,,,70.0,58.01,113.87,-2.9,16.75,14.19,5.46,33.49,13.85,0.0,0.93,0.11,5.72,13.85,0.47,0.01,3.84,0.22,9.51,0.28,0.0,0.0,0.0,1.37,1.54,7.58,2.76,0.0,0.0,31.48,0.02,5.75,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.6,100.0,0.0
DE0 17,,1.28,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.01,,,115.75,85.92,124.04,115.1,,,,,58.4,57.39,117.11,,,,,111.68,66.97,,,67.7,60.33,73.1,,,70.35,60.33,113.1,-4.8,14.87,-18.61,4.07,-4.46,16.09,6.2,2.01,0.13,5.2,16.09,0.58,6.4,6.07,0.39,7.46,0.15,0.0,0.0,21.88,1.21,2.03,37.06,3.21,0.0,0.0,36.57,24.28,9.83,,,,,100.0,0.0,0.0,0.0,0.0,0.0,88.88,100.0,0.0
DE0 18,,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,115.52,85.68,116.83,108.53,,,,,57.07,56.24,110.76,,,,,105.33,65.04,,,,,65.04,,,71.42,64.08,108.42,1.55,5.28,4.44,4.11,15.38,12.19,3.08,0.45,0.1,6.19,12.19,0.23,0.0,4.23,0.65,3.26,0.08,0.0,0.0,16.61,0.65,2.1,0.0,0.0,0.0,0.0,27.7,0.01,3.58,,,,,85.48,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.0
DE0 19,,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,,115.73,85.9,122.3,113.29,,,,,59.42,58.48,115.5,,,,,110.07,,,,70.99,63.49,71.67,,,71.6,63.49,112.63,1.38,10.36,11.94,2.8,26.48,10.54,0.0,0.55,0.08,1.35,10.54,0.23,0.0,3.47,0.43,4.97,1.52,0.0,0.0,0.66,0.81,1.2,11.2,2.1,0.0,0.0,23.96,0.01,2.93,,,,,3.2,0.0,0.0,0.0,0.0,0.0,28.17,100.0,0.0
DE0 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,,,115.83,85.99,120.95,111.17,,,,,57.91,56.73,113.17,,,,,107.74,,,,66.53,,92.22,,,70.56,63.46,106.26,-3.24,14.58,13.64,3.53,28.51,11.03,0.0,0.28,0.09,6.42,11.03,0.4,0.0,2.63,0.13,7.87,3.04,0.0,0.0,0.0,1.38,1.03,0.0,2.2,0.0,0.0,25.07,0.01,5.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,100.0,0.0
DE0 20,,0.52,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.01,,,115.67,85.84,119.01,110.5,,,,,58.21,57.31,112.79,,,,,107.36,71.08,,,70.29,63.59,71.08,,,70.29,63.59,110.15,-2.7,13.62,11.09,4.22,26.23,10.57,0.0,0.67,0.08,11.52,10.57,0.35,0.0,3.61,0.22,6.37,1.11,0.0,0.0,2.94,1.09,1.47,6.7,1.31,0.0,0.0,24.01,0.01,3.73,,,,,36.71,0.0,0.0,0.0,0.0,0.0,21.45,62.24,0.0
DE0 21,,1.53,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,,,115.27,85.43,118.81,110.91,,,,,56.71,55.93,113.13,,,,,107.69,55.0,,,70.91,63.17,63.77,,,70.91,63.17,110.67,-5.01,7.77,-8.52,6.3,0.54,14.42,6.71,1.94,0.11,49.81,14.42,0.63,0.71,5.13,0.29,12.74,0.03,0.0,0.0,19.76,1.14,2.43,12.21,2.86,0.0,3105.57,32.78,3.1,10.16,,,,,100.0,0.0,0.0,0.0,0.0,0.0,23.99,99.38,0.0
