,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 13,,0.21,0.0,0.0,0.0,0.0,0.41,0.01,0.0,0.0,,,157.48,127.65,132.1,121.69,,,,,62.71,61.74,123.54,,,,,118.11,92.12,,,65.47,59.62,92.12,,,71.4,59.62,120.04,6.39,0.0,2.24,10.51,19.14,23.14,1.46,0.0,0.18,23.14,1.18,0.06,5.63,0.24,8.96,0.12,0.0,0.0,15.03,0.0,2.88,16.88,4.62,0.0,4.11,52.59,0.19,14.36,,,,,96.47,0.0,0.0,0.0,0.0,0.0,44.12,100.0,0.0
DE0 14,,0.43,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,,151.09,121.26,125.54,116.76,,,,,62.07,61.42,119.03,,,,,113.6,67.01,,,70.24,62.84,67.01,,,70.37,62.84,116.64,1.97,0.0,-0.18,0.7,2.49,5.12,0.35,0.0,0.04,5.12,0.06,0.01,1.54,0.37,0.8,0.09,0.1,0.0,5.7,0.0,0.58,1.44,1.02,0.0,0.94,11.65,0.02,1.2,,,,,47.99,0.0,0.0,0.0,0.0,0.0,5.84,99.98,0.0
DE0 15,0.0,0.47,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.55,,121.02,91.19,95.46,87.97,,,,,49.15,48.37,90.59,,,,,85.16,38.97,,50.55,,62.0,52.03,62.13,60.46,71.6,62.0,90.67,-27.51,0.0,-2.85,5.27,-25.1,24.28,24.27,0.0,0.19,24.28,1.07,0.0,8.69,0.67,8.36,0.12,0.98,4.19,31.9,6.06,4.45,39.08,0.0,0.0,1833.55,55.17,0.0,13.97,,0.01,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,46.49,0.02,0.0
DE0 16,,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.01,,,157.37,127.53,132.54,121.79,,,,,63.47,62.55,123.65,,,,,118.22,96.97,,,65.41,58.56,96.97,,,71.07,58.56,118.58,4.9,0.0,15.33,8.08,28.31,13.85,0.93,0.0,0.11,13.85,0.65,0.02,4.06,0.23,5.17,0.28,0.0,0.0,3.93,0.0,1.78,6.32,2.76,0.0,2.62,31.48,0.05,8.12,,,,,16.3,0.0,0.0,0.0,0.0,0.0,13.0,100.0,0.0
DE0 17,,0.98,0.0,0.0,0.0,0.0,0.56,0.01,0.0,0.01,,,156.04,126.21,132.84,122.86,,,,,62.27,61.44,124.7,,,,,119.26,66.43,,,67.8,60.98,82.33,,,72.28,60.98,120.46,2.15,0.0,-23.16,9.93,-11.08,16.09,2.81,0.0,0.13,16.09,0.73,12.91,6.06,0.39,9.58,0.15,0.69,0.0,21.88,0.0,1.85,39.57,3.21,0.0,8.82,36.57,47.08,12.18,,,,,100.0,0.0,0.0,0.0,0.0,0.0,94.9,100.0,0.0
DE0 18,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,147.46,117.63,119.67,111.69,,,,,59.61,59.01,114.01,,,,,108.58,67.75,,,,,67.75,,,72.35,65.23,112.5,5.3,0.0,5.13,6.66,17.09,12.19,1.48,0.0,0.1,12.19,0.34,0.01,4.49,0.66,2.17,0.08,0.48,0.0,15.81,0.0,2.18,0.0,0.01,0.0,4.45,27.7,0.04,5.59,,,,,81.34,0.0,0.0,0.0,0.0,0.0,0.01,0.21,0.0
DE0 19,,0.28,0.0,0.0,0.0,0.0,0.27,0.01,0.0,0.0,,,152.87,123.04,125.94,116.85,,,,,62.29,61.47,119.05,,,,,113.62,72.97,,,71.08,64.3,72.96,,,71.73,64.3,116.79,5.99,0.0,8.78,4.83,19.6,10.54,0.71,0.0,0.08,10.54,0.34,0.0,3.65,0.44,1.9,1.52,0.17,0.0,3.33,0.0,1.28,14.68,2.1,0.0,2.12,23.96,0.01,6.08,,,,,16.22,0.0,0.0,0.0,0.0,0.0,36.92,100.0,0.0
DE0 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,,,155.62,125.79,126.25,115.7,,,,,61.17,60.17,117.72,,,,,112.29,,,,64.06,,93.33,,,69.86,65.13,109.24,4.66,0.0,17.29,5.41,27.35,11.03,0.82,0.0,0.09,11.03,0.57,0.0,2.83,0.13,3.97,3.04,0.0,0.0,0.0,0.0,1.31,0.0,2.2,0.0,2.27,25.07,0.01,5.49,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0
DE0 20,,1.12,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.01,,,150.45,120.62,122.37,113.89,,,,,60.96,60.28,116.22,,,,,110.79,74.38,,,70.34,63.65,74.38,,,70.33,63.65,114.3,3.53,0.0,12.58,6.63,22.75,10.57,1.04,0.0,0.08,10.57,0.5,0.0,3.86,0.22,2.63,1.11,0.31,0.0,4.61,0.0,1.54,7.84,1.62,0.0,2.99,24.01,0.01,7.27,,,,,57.47,0.0,0.0,0.0,0.0,0.0,25.11,77.04,0.0
DE0 21,,0.55,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,124.23,94.4,126.16,117.93,,,,,59.15,58.56,119.94,,,,,114.5,53.66,,,70.88,62.86,71.29,,,73.48,62.86,116.24,-9.02,0.0,-6.94,9.33,-6.63,14.42,14.09,0.87,0.11,14.42,0.66,3.66,5.13,0.29,15.45,0.03,0.0,0.0,19.76,1.95,2.36,29.14,2.88,0.0,1258.53,32.78,14.03,10.71,,,,,100.0,0.0,0.0,0.0,0.0,0.0,57.24,100.0,0.0
