,demand,demand,demand,demand,demand,demand,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,capacity_factor,cop,cop,salt_caverns,salt_caverns,salt_caverns,biomass_potentials,biomass_potentials
,electricity,H2,heat,oil,biomass,process emission,hydroelectricity,offshore wind,onshore wind,solar PV,solar rooftop,solar thermal,air heat pump,ground heat pump,nearshore caverns,offshore caverns,onshore caverns,biogas,solid biomass
ES0 6,9.56,3.67,5.23,5.26,1.94,0.66,,,11.82,15.13,15.13,8.36,3.06,4.04,,,,1.79,3.03
ES0 7,45.36,18.66,27.12,7.96,3.38,0.86,45.58,15.43,12.36,14.58,14.58,7.39,2.85,3.77,,,116.12,2.1,7.39
ES0 8,45.28,10.93,16.79,4.81,1.52,0.34,,20.05,20.07,15.26,15.26,8.31,2.97,3.93,76.97,,22.22,0.53,2.07
ES0 9,34.3,8.83,11.61,6.42,3.0,0.87,,18.14,18.51,12.25,12.25,5.54,2.75,3.64,9.3,,70.09,1.56,4.41
ES2 0,4.7,1.56,2.4,1.07,0.42,0.1,,24.07,22.43,14.19,14.19,7.96,3.22,4.35,,,,0.05,0.53
FI3 0,24.86,3.01,21.34,0.53,1.73,0.01,54.49,39.33,22.9,8.77,8.77,3.33,2.42,3.17,,,,0.23,12.82
FI3 1,16.28,2.54,9.94,3.23,12.52,0.09,54.49,36.68,20.21,7.78,7.78,2.9,2.32,3.07,,,,0.61,6.42
FI3 2,26.75,1.61,12.88,4.76,24.41,0.31,54.49,37.59,21.02,8.68,8.68,3.14,2.4,3.17,,,,0.34,11.83
FI3 3,5.02,0.38,3.25,1.54,9.47,0.46,54.49,32.15,23.0,,,2.43,2.2,3.0,,,,0.3,11.26
FI3 4,20.06,2.45,20.89,6.0,7.14,0.13,54.49,39.42,23.37,9.0,9.0,3.34,2.44,3.22,,,,0.37,7.55
FR0 0,12.14,1.68,9.98,4.49,3.19,0.31,,33.19,22.99,13.22,13.22,6.45,2.82,3.68,,,3.49,1.71,4.68
FR0 1,112.54,16.36,96.64,7.52,3.08,1.46,,,25.12,10.1,10.1,4.05,2.73,3.61,,,,0.19,1.96
FR0 10,18.18,2.42,14.1,25.05,11.54,0.6,51.37,18.14,13.13,13.56,13.56,6.88,2.67,3.55,,,10.68,1.71,16.84
FR0 11,18.59,1.92,10.8,5.14,4.56,0.45,,,20.17,9.99,9.99,4.18,2.71,3.56,,,,1.93,13.73
FR0 12,21.28,2.79,16.03,3.51,2.79,0.72,51.37,30.17,15.76,11.59,11.59,5.55,2.89,3.79,,,,0.84,2.91
FR0 13,15.1,2.13,9.94,1.89,0.67,0.13,51.37,,16.0,11.7,11.7,5.71,2.61,3.43,,,66.53,0.48,1.79
FR0 14,34.15,8.08,17.5,5.1,3.26,1.33,51.37,31.45,25.38,14.1,14.1,7.19,2.93,3.87,,,29.69,1.92,4.47
FR0 15,12.04,1.48,7.46,3.74,1.68,0.37,,,24.19,9.69,9.69,3.8,2.68,3.55,,,,0.16,2.94
FR0 16,31.38,4.63,23.23,2.57,1.1,0.01,51.37,,14.94,10.65,10.65,4.79,2.72,3.53,,,45.23,0.32,2.32
FR0 17,18.35,2.07,11.5,3.08,3.31,0.8,,,17.09,10.39,10.39,4.56,2.72,3.56,,,,4.13,7.94
FR0 18,17.18,2.12,13.11,1.16,0.61,0.12,,43.86,30.06,10.3,10.3,4.54,2.73,3.61,,,,2.25,3.77
FR0 19,20.57,3.3,15.62,3.0,1.77,0.82,,40.37,32.42,9.67,9.67,3.72,2.68,3.55,,,,9.45,3.37
FR0 2,11.14,1.56,6.03,4.46,2.02,0.01,51.37,,0.51,11.12,11.12,5.96,2.27,3.11,,,,8.86,3.51
FR0 20,21.06,2.16,13.11,1.97,1.9,0.29,,30.28,21.4,11.19,11.19,5.1,2.8,3.7,,,,1.72,6.15
FR0 21,29.25,4.1,19.89,2.27,1.09,0.0,51.37,,13.67,9.97,9.97,4.23,2.66,3.49,,,42.24,9.03,2.17
FR0 22,22.6,3.29,14.83,2.83,2.27,0.71,,42.13,29.0,9.91,9.91,4.06,2.7,3.58,,,,2.89,10.22
FR0 23,11.4,1.45,6.9,2.8,1.59,0.29,,24.62,12.75,11.23,11.23,5.66,2.84,3.72,,,,1.15,3.89
FR0 24,7.65,0.56,3.26,2.43,1.14,0.27,51.37,,17.05,11.16,11.16,5.27,2.64,3.45,,,,0.48,2.79
FR0 25,18.57,2.58,14.03,6.83,3.48,0.6,51.37,,14.01,10.49,10.49,4.76,2.7,3.52,,,62.31,4.4,4.88
FR0 26,15.5,1.88,11.17,8.58,3.55,0.33,51.37,34.05,25.38,12.23,12.23,5.93,2.82,3.71,,,,1.74,4.67
FR0 3,11.53,1.61,10.06,3.4,1.59,0.4,,42.86,37.6,10.47,10.47,4.89,2.74,3.65,,,,3.16,9.37
FR0 4,25.15,4.88,15.0,7.56,5.15,0.58,,,21.03,9.66,9.66,3.91,2.66,3.51,,,,1.6,6.56
