,bus0,bus1,length,max_retro,p_nom_opt,p_nom_opt_new,p_nom_opt_retro
DE0 11 - NO3 5,DE0 11,NO3 5,535.0,7.3,7.298,0.0,7.298
DE0 12 - DE0 18,DE0 12,DE0 18,152.0,60.97,0.44699999999999995,0.001,0.44599999999999995
DE0 12 - DE0 23,DE0 12,DE0 23,177.0,2.7,1.252,0.0,1.252
DE0 12 - DE0 3,DE0 12,DE0 3,213.0,33.120999999999995,1.863,0.001,1.862
DE0 12 - DE0 4,DE0 12,DE0 4,240.0,23.832,0.183,0.0,0.183
DE0 12 - DE0 8,DE0 12,DE0 8,151.0,31.848,0.103,0.001,0.102
DE0 12 - PL0 3,DE0 12,PL0 3,184.0,23.733,0.028,0.0,0.028
DE0 13 - DE0 15,DE0 13,DE0 15,710.0,0.0,0.0,0.0,0.0
DE0 13 - DE0 16,DE0 13,DE0 16,109.66666666666667,7.881,1.046,0.001,1.045
DE0 13 - DE0 2,DE0 13,DE0 2,145.66666666666666,5.2989999999999995,4.192,0.001,4.191
DE0 13 - DE0 22,DE0 13,DE0 22,102.0,7.127000000000001,0.537,0.001,0.536
DE0 13 - DE0 27,DE0 13,DE0 27,168.0,0.0,0.002,0.002,0.0
DE0 14 - DE0 19,DE0 14,DE0 19,117.5,0.9,0.013000000000000001,0.001,0.012
DE0 14 - DE0 20,DE0 14,DE0 20,180.0,0.0,0.001,0.001,0.0
DE0 14 - DE0 24,DE0 14,DE0 24,133.0,0.0,0.006,0.006,0.0
DE0 14 - DE0 27,DE0 14,DE0 27,170.0,0.9,0.202,0.0,0.202
DE0 14 - DE0 8,DE0 14,DE0 8,139.0,4.367,0.448,0.0,0.448
DE0 15 - DE0 21,DE0 15,DE0 21,228.33333333333334,60.202,16.437,0.001,16.436
DE0 15 - DE0 23,DE0 15,DE0 23,200.0,0.0,0.004,0.004,0.0
DE0 15 - DE0 3,DE0 15,DE0 3,340.0,31.552,1.671,0.0,1.671
DE0 15 - DE0 4,DE0 15,DE0 4,260.3333333333333,4.806,4.804,0.002,4.802
DE0 15 - DK0 0,DE0 15,DK0 0,306.6666666666667,3.59,23.105,19.515,3.59
DE0 15 - NO3 5,DE0 15,NO3 5,760.0,0.0,0.0,0.0,0.0
DE0 16 - DE0 9,DE0 16,DE0 9,120.33333333333333,54.617000000000004,0.175,0.001,0.174
DE0 17 - DE0 22,DE0 17,DE0 22,139.0,65.007,0.798,0.001,0.797
DE0 17 - DE0 5,DE0 17,DE0 5,146.0,0.0,0.002,0.002,0.0
DE0 17 - DE0 7,DE0 17,DE0 7,187.0,28.923,3.856,0.001,3.855
DE0 17 - FR0 4,DE0 17,FR0 4,170.0,2.7,2.6870000000000003,0.002,2.685
DE0 17 - LU0 0,DE0 17,LU0 0,91.5,0.887,0.903,0.017,0.886
DE0 18 - DE0 20,DE0 18,DE0 20,136.0,76.829,0.17400000000000002,0.001,0.17300000000000001
DE0 18 - DE0 8,DE0 18,DE0 8,200.0,31.552,0.899,0.0,0.899
DE0 18 - PL0 2,DE0 18,PL0 2,233.0,2.025,0.401,0.0,0.401
DE0 18 - PL0 3,DE0 18,PL0 3,205.0,0.0,0.001,0.001,0.0
DE0 18 - PL0 4,DE0 18,PL0 4,469.0,21.512,1.986,0.0,1.986
DE0 19 - DE0 20,DE0 19,DE0 20,115.5,7.3,0.068,0.002,0.066
DE0 19 - DE0 25,DE0 19,DE0 25,159.0,0.0,0.072,0.072,0.0
DE0 19 - DE0 8,DE0 19,DE0 8,169.33333333333334,26.576,1.0170000000000001,0.001,1.016
DE0 2 - DE0 22,DE0 2,DE0 22,185.0,4.972,4.971,0.001,4.97
DE0 2 - FR0 21,DE0 2,FR0 21,105.66666666666667,43.742999999999995,7.513,0.004,7.5089999999999995
DE0 20 - DE0 8,DE0 20,DE0 8,139.0,36.529,6.428,0.0,6.428
DE0 21 - DE0 24,DE0 21,DE0 24,170.5,4.158,3.881,0.001,3.88
DE0 21 - DE0 27,DE0 21,DE0 27,348.0,16.112,8.378,0.0,8.378
DE0 21 - DE0 4,DE0 21,DE0 4,126.5,72.204,7.531000000000001,0.001,7.53
DE0 22 - DE0 27,DE0 22,DE0 27,159.0,39.944,5.117,0.002,5.115
DE0 22 - DE0 5,DE0 22,DE0 5,137.0,37.763,0.178,0.002,0.176
DE0 22 - DE0 7,DE0 22,DE0 7,293.0,0.0,0.001,0.001,0.0
DE0 22 - FR0 21,DE0 22,FR0 21,204.0,28.923,3.056,0.0,3.056
DE0 23 - DE0 3,DE0 23,DE0 3,154.0,1.569,0.193,0.001,0.192
DE0 23 - DE0 4,DE0 23,DE0 4,223.0,31.23,0.843,0.0,0.843
DE0 23 - DE0 8,DE0 23,DE0 8,233.0,5.482,0.649,0.001,0.648
DE0 23 - DK3 0,DE0 23,DK3 0,287.0,0.0,0.968,0.968,0.0
DE0 23 - SE3 3,DE0 23,SE3 3,476.0,0.0,0.012,0.012,0.0
DE0 24 - DE0 27,DE0 24,DE0 27,182.5,8.142,3.3819999999999997,0.001,3.381
DE0 24 - DE0 4,DE0 24,DE0 4,186.0,0.0,0.001,0.001,0.0
DE0 24 - DE0 5,DE0 24,DE0 5,157.0,0.0,0.002,0.002,0.0
DE0 25 - DE0 6,DE0 25,DE0 6,142.33333333333334,23.673,7.791,0.001,7.79
DE0 25 - DE0 9,DE0 25,DE0 9,174.0,2.389,2.325,0.0,2.325
DE0 26 - DE0 5,DE0 26,DE0 5,190.5,0.9,0.9,0.001,0.899
DE0 26 - DE0 7,DE0 26,DE0 7,75.25,42.487,8.267,0.004,8.263
DE0 27 - DE0 5,DE0 27,DE0 5,113.0,17.912,0.095,0.001,0.094
DE0 3 - PL0 3,DE0 3,PL0 3,154.0,0.0,1.962,1.962,0.0
DE0 4 - DE0 8,DE0 4,DE0 8,138.0,34.292,9.146999999999998,0.001,9.145999999999999
DE0 5 - DE0 7,DE0 5,DE0 7,209.0,10.009,2.3560000000000003,0.0,2.3560000000000003
DE0 6 - DE0 9,DE0 6,DE0 9,120.5,28.493,0.012,0.001,0.011
DE0 7 - NL0 1,DE0 7,NL0 1,175.0,0.9,0.901,0.002,0.899
DE0 7 - NL0 2,DE0 7,NL0 2,113.33333333333333,2.85,2.364,0.001,2.363
DE0 8 - DE0 9,DE0 8,DE0 9,469.0,0.0,0.001,0.001,0.0
DK0 0 - DK3 0,DK0 0,DK3 0,293.5,0.9,1.216,0.318,0.898
DK0 0 - GB5 2,DK0 0,GB5 2,929.0,0.0,0.0,0.0,0.0
DK0 0 - NL0 3,DK0 0,NL0 3,446.0,0.0,0.001,0.001,0.0
DK0 0 - NO3 5,DK0 0,NO3 5,375.5,1.8,1.801,0.001,1.8
DK0 0 - SE3 6,DK0 0,SE3 6,345.0,0.0,2.397,2.397,0.0
DK3 0 - SE3 3,DK3 0,SE3 3,203.0,2.028,7.054,5.027,2.027
EE6 0 - FI3 4,EE6 0,FI3 4,234.0,0.0,4.428,4.428,0.0
EE6 0 - LV6 0,EE6 0,LV6 0,294.0,1.455,5.837,4.382,1.455
ES0 0 - ES0 11,ES0 0,ES0 11,242.0,16.4,3.714,0.001,3.713
