snapshot,Fischer-Tropsch,H2 Fuel Cell,agriculture heat,low-temperature heat for industry,residential rural gas boiler,residential rural ground heat pump,residential rural heat,residential rural resistive heater,residential rural solar thermal,residential rural water tanks charger,residential rural water tanks discharger,residential urban decentral air heat pump,residential urban decentral gas boiler,residential urban decentral heat,residential urban decentral resistive heater,residential urban decentral solar thermal,residential urban decentral water tanks charger,residential urban decentral water tanks discharger,services rural gas boiler,services rural ground heat pump,services rural heat,services rural resistive heater,services rural water tanks charger,services rural water tanks discharger,services urban decentral air heat pump,services urban decentral gas boiler,services urban decentral heat,services urban decentral resistive heater,services urban decentral solar thermal,services urban decentral water tanks charger,services urban decentral water tanks discharger,urban central air heat pump,urban central gas CHP,urban central gas boiler,urban central heat,urban central resistive heater,urban central solar thermal,urban central solid biomass CHP,urban central solid biomass CHP CC,urban central water tanks charger,urban central water tanks discharger
2013-01-04 00:00:00,41.02,17.06,-21.63,-5.94,0.0,52.85,-52.84,0.17,0.0,-0.62,0.44,62.98,0.34,-63.35,0.21,0.0,-0.57,0.4,0.0,47.62,-25.99,0.18,-0.6,0.42,31.29,0.95,-32.64,0.56,0.0,-0.55,0.38,59.47,11.82,7.48,-165.59,16.59,0.0,1.73,58.13,-43.31,1.52
2013-01-04 03:00:00,41.45,18.5,-21.63,-5.94,0.34,86.42,-87.47,0.89,0.0,-0.6,0.42,89.35,9.03,-103.33,5.09,0.0,-0.5,0.35,0.46,57.14,-36.86,1.06,-0.59,0.41,38.25,4.08,-46.09,3.9,0.0,-0.47,0.33,70.13,18.53,24.61,-257.75,23.68,0.0,1.73,59.99,-6.3,11.35
2013-01-04 06:00:00,41.69,19.6,-21.63,-5.94,0.07,90.87,-91.9,1.11,0.0,-0.52,0.36,94.38,8.08,-109.7,7.36,0.0,-0.4,0.28,0.15,57.1,-36.48,1.0,-0.51,0.36,38.83,3.08,-45.88,4.08,0.0,-0.39,0.28,72.5,17.03,24.62,-268.38,29.48,0.04,1.73,59.62,-4.52,12.51
2013-01-04 09:00:00,41.43,15.05,-21.63,-5.94,0.0,82.95,-83.32,0.48,0.0,-0.4,0.28,92.85,3.4,-99.51,3.34,0.0,-0.32,0.23,0.0,52.65,-31.25,0.34,-0.39,0.27,36.96,1.08,-39.35,1.41,0.0,-0.33,0.23,82.24,13.81,3.18,-239.54,29.6,13.03,1.54,55.92,-11.63,1.3
2013-01-04 12:00:00,37.55,16.97,-21.63,-5.94,0.0,80.95,-81.22,0.38,0.0,-0.4,0.28,92.53,2.23,-96.87,2.19,0.02,-0.33,0.23,0.0,50.76,-29.23,0.21,-0.39,0.27,35.7,0.49,-36.78,0.68,0.01,-0.34,0.24,85.99,13.32,1.8,-230.55,27.85,25.5,0.57,55.31,-28.69,0.32
2013-01-04 15:00:00,30.05,20.27,-21.63,-5.94,0.01,87.35,-88.0,0.69,0.0,-0.16,0.11,95.68,4.99,-104.67,4.04,0.0,-0.14,0.09,0.0,50.72,-29.19,0.14,-0.15,0.1,35.42,0.7,-36.72,0.64,0.0,-0.14,0.1,85.43,16.81,8.66,-243.9,24.67,7.73,1.68,60.88,-9.83,3.5
2013-01-04 18:00:00,31.54,20.41,-21.63,-5.94,0.02,87.72,-88.45,0.76,0.0,-0.16,0.11,94.93,5.75,-105.67,5.03,0.0,-0.14,0.09,0.0,48.56,-26.96,0.07,-0.15,0.1,33.18,0.52,-34.04,0.39,0.0,-0.14,0.1,82.14,17.66,12.36,-241.01,22.42,0.0,1.68,61.19,-8.56,6.12
2013-01-04 21:00:00,28.27,15.85,-21.63,-5.94,0.0,59.28,-59.27,0.01,0.0,-0.07,0.05,71.31,0.33,-71.82,0.2,0.0,-0.06,0.04,0.0,44.7,-23.06,0.01,-0.07,0.05,28.63,0.28,-29.1,0.2,0.0,-0.06,0.04,69.63,14.84,4.7,-174.09,12.63,0.0,1.5,59.38,-27.96,1.16
2013-01-05 00:00:00,27.77,17.23,-21.63,-5.94,0.0,54.1,-54.1,0.0,0.0,-0.01,0.01,64.44,0.57,-65.47,0.47,0.0,-0.01,0.0,0.01,50.55,-29.07,0.13,-0.01,0.01,34.25,0.91,-36.85,1.69,0.0,-0.0,0.0,66.35,14.95,6.42,-176.52,18.23,0.0,1.5,55.86,-26.3,0.41
2013-01-05 03:00:00,28.97,21.36,-21.63,-5.94,0.45,89.06,-90.64,1.14,0.0,-0.01,0.0,93.2,6.34,-108.29,8.75,0.0,-0.0,0.0,0.25,58.77,-38.4,1.01,-0.01,0.0,40.52,3.06,-48.69,5.1,0.0,-0.0,0.0,76.55,21.04,25.25,-270.78,27.77,0.0,1.66,65.84,-1.14,9.42
