,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
,offwind-ac,onwind,residential rural solar thermal,residential urban decentral solar thermal,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal,ror,offwind-dc,CO2 sequestration,H2 liquid,H2 storage,Li ion,battery storage,biogas,co2,fossil gas,gas for industry,heat,hot water storage,low voltage,oil,process emissions,solid biomass,solid biomass for industry,transmission lines,onwind,offwind-ac,offwind-dc,solar rooftop,solar,onwind,offwind-ac,offwind-dc,solar rooftop,solar,ror,oil,hydrogen,electricity,gas,total,BEV charger,H2 Electrolysis,H2 Fuel Cell,H2 liquefaction,H2 pipeline retrofitted,V2G,air heat pump,battery storage,electricity distribution grid,ground heat pump,hot water storage,hydroelectricity,methanation,offshore wind,onshore wind,power-to-liquid,resistive heater,solar PV,solar rooftop,solar thermal,H2 storage,Li ion,battery storage,hot water storage,gas,offwind-ac,offwind-dc,oil,onwind,residential rural solar thermal,residential urban decentral solar thermal,ror,services rural solar thermal,services urban decentral solar thermal,solar,solar rooftop,urban central solar thermal
DE0 10,,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,116.73,86.9,93.86,84.14,,,,,49.38,48.47,86.75,,,,,81.32,54.17,,,,,57.06,,,68.62,61.62,85.67,-2.87,15.68,-8.24,3.63,8.19,14.9,0.0,0.0,0.12,4.27,14.9,0.87,0.0,4.38,0.1,3.82,0.22,0.0,0.0,16.52,1.52,1.79,0.0,0.0,0.0,0.0,33.86,0.0,2.44,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 11,0.17,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09,,116.26,86.43,83.29,75.02,,,,,45.79,45.13,77.68,,,,,72.25,40.9,51.41,49.1,,,47.26,51.46,51.74,66.14,60.99,,0.86,-76.55,-62.75,2.86,-135.58,10.46,31.28,0.0,0.08,5.12,10.46,0.46,0.0,4.71,0.44,1.75,0.0,0.0,40.45,16.82,0.7,1.96,0.0,0.0,0.0,2601.2,23.78,0.0,1.96,,99.99,100.0,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
DE0 12,,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.04,87.21,95.86,85.97,,,,,50.3,49.35,88.6,,,,,83.17,59.83,,,,,59.82,,,68.24,62.42,88.05,-3.45,21.46,25.15,4.46,47.62,24.49,0.0,0.0,0.19,1.78,24.49,1.03,0.0,6.07,0.51,7.4,0.0,0.0,0.0,4.64,2.04,3.9,0.01,0.0,0.0,0.0,55.66,0.0,3.76,,,,,22.17,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0
DE0 13,,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.0,0.0,,,117.33,87.5,96.84,87.2,,,,,50.88,49.72,89.74,,,,,84.31,,,,65.54,58.56,68.93,,,67.08,58.56,87.9,-6.52,22.75,24.98,4.66,45.88,23.14,0.0,0.0,0.18,2.81,23.14,1.08,0.0,5.49,0.23,11.37,0.12,0.0,0.0,0.0,2.19,2.96,7.23,4.62,0.0,0.0,52.59,0.0,4.22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.9,100.0,0.0
DE0 14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.14,87.31,96.29,86.57,,,,,51.45,50.73,89.2,,,,,83.76,,,,,,62.16,,,69.72,63.31,87.5,1.14,2.12,9.9,0.25,13.42,5.12,0.0,0.0,0.04,0.2,5.12,0.05,0.0,1.61,0.36,1.02,0.09,0.0,0.0,0.0,0.14,0.68,0.0,0.0,0.0,0.0,11.65,0.0,0.19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0
DE0 15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,,116.33,86.49,87.21,78.35,,,,,47.58,47.16,81.0,,,,,75.57,38.81,,49.48,,,50.25,60.57,55.95,66.95,61.96,81.85,-3.09,12.8,-44.28,8.62,-25.95,24.28,4.24,0.0,0.19,7.21,24.28,1.43,0.0,8.26,0.63,4.21,0.12,0.0,4.19,31.9,1.98,3.96,0.0,0.0,0.0,74.91,55.17,0.0,5.36,,0.0,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE0 16,,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.01,,,117.46,87.63,97.13,87.52,,,,,51.56,50.48,90.07,,,,,84.64,,,,65.57,58.74,72.3,,,66.92,58.74,88.05,-2.49,13.21,17.62,4.64,32.98,13.85,0.0,0.0,0.11,1.68,13.85,0.58,0.0,4.02,0.22,6.34,0.28,0.0,0.0,0.0,1.26,1.8,6.52,2.76,0.0,0.0,31.48,0.0,2.37,,,,,0.0,0.0,0.0,0.0,0.0,0.0,13.42,100.0,0.0
DE0 17,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,117.11,87.28,95.78,86.08,,,,,50.14,49.26,88.67,,,,,83.23,,,,67.77,60.09,61.6,,,67.77,60.09,86.45,-5.84,18.86,27.46,3.25,43.74,16.09,0.0,0.0,0.13,2.31,16.09,0.69,0.0,5.87,0.38,4.8,0.15,0.0,0.0,0.0,1.36,1.86,13.45,1.93,0.0,0.0,36.57,0.0,2.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,32.26,60.0,0.0
DE0 18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.2,87.37,95.68,86.03,,,,,50.76,49.91,88.67,,,,,83.23,,,,,,63.04,,,68.84,62.69,87.28,1.6,9.08,25.91,2.82,39.42,12.19,0.0,0.0,0.1,1.49,12.19,0.27,0.0,4.18,0.63,2.49,0.08,0.0,0.0,0.03,0.63,2.21,0.0,0.0,0.0,0.0,27.7,0.0,1.35,,,,,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
DE0 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.17,87.34,97.52,87.54,,,,,51.82,50.87,90.14,,,,,84.7,,,,,,64.75,,,71.98,64.31,88.6,2.01,7.8,23.99,2.05,35.85,10.54,0.0,0.0,0.08,0.95,10.54,0.27,0.0,3.59,0.42,3.61,1.52,0.0,0.0,0.0,0.68,1.26,0.0,0.0,0.0,0.0,23.96,0.0,0.92,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.0
