,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
176,FR0 13,FR0 25,167,3.396,13.396,AC,6.766
177,FR0 13,IT0 12,218,0.0,10.0,AC,10.0
178,FR0 15,FR0 4,174,4.535,14.535,AC,14.535
179,FR0 15,FR0 8,144,5.663,15.663,AC,15.405
180,FR0 16,FR0 17,190,3.396,13.396,AC,9.321
181,FR0 16,FR0 24,237,1.138,11.138,AC,3.877
182,FR0 16,FR0 25,113,16.431,26.431,AC,16.431
183,FR0 17,FR0 24,248,0.569,10.569,AC,1.713
184,FR0 17,FR0 5,132,5.104,15.104,AC,13.279
185,FR0 17,FR0 7,256,0.569,10.569,AC,1.506
186,FR0 18,FR0 22,214,4.535,14.535,AC,14.535
187,FR0 18,FR0 3,199,2.267,12.267,AC,7.741
188,FR0 18,FR0 7,224,3.965,13.965,AC,12.852
189,FR0 18,FR0 9,166,3.965,13.965,AC,13.965
190,FR0 19,FR0 22,227,3.396,13.396,AC,8.172
191,FR0 19,FR0 8,108,14.742,24.742,AC,21.22
192,FR0 2,FR0 25,134,2.836,12.836,AC,7.238
193,FR0 2,IT0 12,137,5.094,15.094,AC,15.094
194,FR0 20,FR0 5,224,5.094,15.094,AC,7.096
195,FR0 20,FR0 7,198,3.965,13.965,AC,12.616
196,FR0 20,FR0 9,198,1.138,11.138,AC,7.4
197,FR0 21,FR0 25,278,2.836,12.836,AC,5.279
198,FR0 21,FR0 4,147,7.362,17.362,AC,17.362
199,FR0 22,FR0 7,248,0.569,10.569,AC,1.515
200,FR0 23,FR0 6,208,3.965,13.965,AC,6.082
201,FR0 24,FR0 26,163,2.836,12.836,AC,12.836
202,FR0 24,FR0 5,164,5.104,15.104,AC,13.431
203,FR0 24,FR0 6,240,0.569,10.569,AC,1.565
204,FR0 26,FR0 6,134,4.535,14.535,AC,11.387
205,FR0 3,FR0 9,231,5.104,15.104,AC,9.336
206,FR0 5,FR0 7,285,1.138,11.138,AC,2.885
207,FR0 7,FR0 9,207,2.836,12.836,AC,11.519
208,GB4 0,IE4 0,288,1.138,11.138,AC,11.138
209,GB5 0,GB5 16,160,8.269,18.269,AC,18.269
210,GB5 0,GB5 8,163,2.117,12.117,AC,3.503
211,GB5 1,GB5 10,163,6.792,16.792,AC,11.751
212,GB5 1,GB5 11,150,6.153,16.153,AC,7.154
213,GB5 1,GB5 15,149,3.396,13.396,AC,4.728
214,GB5 1,GB5 6,167,3.396,13.396,AC,8.505
215,GB5 1,GB5 7,172,3.396,13.396,AC,7.905
216,GB5 10,GB5 11,285,3.396,13.396,AC,5.317
217,GB5 10,GB5 13,105,13.585,23.585,AC,23.585
218,GB5 10,GB5 6,149,12.305,22.305,AC,21.692
219,GB5 11,GB5 15,66,21.61,31.61,AC,21.61
220,GB5 11,GB5 2,140,10.189,20.189,AC,20.189
221,GB5 11,GB5 5,75,13.585,23.585,AC,21.727
222,GB5 12,GB5 7,109,6.792,16.792,AC,6.792
223,GB5 13,GB5 17,156,3.396,13.396,AC,5.507
224,GB5 13,GB5 2,134,10.189,20.189,AC,20.189
225,GB5 13,GB5 9,82,22.494,32.494,AC,32.494
226,GB5 14,GB5 6,78,9.968,19.968,AC,11.627
227,GB5 15,GB5 7,80,6.792,16.792,AC,16.792
228,GB5 16,GB5 4,214,5.513,15.513,AC,15.513
229,GB5 16,GB5 7,314,3.396,13.396,AC,10.267
230,GB5 16,GB5 8,232,4.233,14.233,AC,8.835
231,GB5 17,GB5 2,113,3.396,13.396,AC,3.625
232,GB5 3,GB5 6,154,6.792,16.792,AC,12.762
233,GB5 4,GB5 5,185,6.792,16.792,AC,16.792
234,GR0 0,GR0 1,292,13.585,23.585,AC,23.585
235,GR0 1,MK0 0,224,3.396,13.396,AC,13.396
236,HR0 0,HU0 0,351,6.792,16.792,AC,12.93
237,HR0 0,RS0 1,402,1.698,11.698,AC,2.478
238,HR0 0,SI0 0,186,6.233,16.233,AC,8.684
239,HU0 0,HU0 1,192,11.327,21.327,AC,18.469
240,HU0 0,SK0 0,205,3.396,13.396,AC,13.396
241,HU0 1,RO0 0,296,3.396,13.396,AC,10.534
242,HU0 1,RS0 1,332,1.698,11.698,AC,4.079
243,IT0 0,IT0 11,140,9.06,19.06,AC,15.157
244,IT0 0,IT0 12,188,3.406,13.406,AC,8.596
245,IT0 0,IT0 15,176,4.535,14.535,AC,7.794
246,IT0 0,IT0 5,204,5.094,15.094,AC,5.094
247,IT0 0,IT0 8,202,3.396,13.396,AC,13.396
248,IT0 1,IT0 10,257,3.396,13.396,AC,13.396
249,IT0 1,IT0 14,198,1.698,11.698,AC,7.063
250,IT0 1,IT0 9,110,3.396,13.396,AC,6.891
251,IT0 10,IT0 3,233,1.698,11.698,AC,5.411
252,IT0 10,IT0 9,295,1.698,11.698,AC,7.114
253,IT0 11,IT0 12,141,7.931,17.931,AC,15.026
254,IT0 11,IT0 15,226,0.569,10.569,AC,1.355
255,IT0 11,IT0 5,154,3.406,13.406,AC,4.551
256,IT0 13,IT0 7,189,2.277,12.277,AC,7.824
257,IT0 14,IT0 2,280,1.698,11.698,AC,7.03
258,IT0 14,IT0 4,146,2.267,12.267,AC,3.293
259,IT0 14,IT0 9,231,0.569,10.569,AC,1.592
260,IT0 15,IT0 16,188,10.767,20.767,AC,10.767
261,IT0 15,IT0 2,147,6.792,16.792,AC,8.037
262,IT0 15,IT0 5,137,6.242,16.242,AC,15.186
263,IT0 15,IT0 8,211,2.267,12.267,AC,8.625
264,IT0 16,SI0 0,179,2.267,12.267,AC,9.238
265,IT0 3,IT0 7,254,3.396,13.396,AC,10.629
266,IT0 3,IT0 9,348,3.396,13.396,AC,10.594
267,IT0 4,IT0 6,125,14.163,24.163,AC,14.163
268,IT0 4,IT0 9,200,5.094,15.094,AC,15.094
269,IT0 6,IT0 8,185,5.663,15.663,AC,14.253
270,LT6 0,LV6 0,233,4.233,14.233,AC,14.233
271,ME0 0,RS0 0,240,1.698,11.698,AC,1.794
272,ME0 0,RS0 1,296,1.138,11.138,AC,1.138
273,MK0 0,RS0 0,227,3.396,13.396,AC,11.405
274,NL0 0,NL0 2,111,5.094,15.094,AC,15.094
275,NL0 0,NL0 4,83,3.396,13.396,AC,13.396
276,NL0 1,NL0 2,123,3.396,13.396,AC,11.292
277,NL0 1,NL0 3,138,4.535,14.535,AC,14.535
278,NL0 1,NL0 5,93,4.535,14.535,AC,14.535
279,NL0 3,NL0 5,94,1.138,11.138,AC,5.843
280,NL0 4,NL0 5,111,3.396,13.396,AC,10.415
281,NO3 0,NO3 2,377,2.756,12.756,AC,3.853
282,NO3 0,NO3 3,350,2.756,12.756,AC,2.756
283,NO3 0,SE3 5,232,1.698,11.698,AC,4.368
